filename,shape,shape_id,width,length,depth,frequency,split,crack_no
5khz_No1.csv,Rectangular,1,0.7,10.0,1.0,5kHz,Trainning,1
5khz_No10.csv,Step_T,3,0.5,10.0,3.0,5kHz,Trainning,10
5khz_No10_1.csv,Step_T,3,0.5,10.0,3.0,5kHz,Trainning,10
5khz_No1_1.csv,Rectangular,1,0.7,10.0,1.0,5kHz,Trainning,1
5khz_No2.csv,Rectangular,1,0.7,10.0,2.0,5kHz,Trainning,2
5khz_No2_1.csv,Rectangular,1,0.7,10.0,2.0,5kHz,Trainning,2
5khz_No3_.csv,Rectangular,1,0.7,10.0,3.0,5kHz,Trainning,3
5khz_No3_1.csv,Rectangular,1,0.7,10.0,3.0,5kHz,Trainning,3
5khz_No4.csv,Ellipse,0,0.7,10.0,3.0,5kHz,Trainning,4
5khz_No4_1.csv,Ellipse,0,0.7,10.0,3.0,5kHz,Trainning,4
5khz_No5.csv,Ellipse,0,0.9,10.0,3.0,5kHz,Trainning,5
5khz_No5_1.csv,Ellipse,0,0.9,10.0,3.0,5kHz,Trainning,5
5khz_No6.csv,Triangular,4,0.7,10.0,1.0,5kHz,Trainning,6
5khz_No6_1.csv,Triangular,4,0.7,10.0,1.0,5kHz,Trainning,6
5khz_No7.csv,Triangular,4,0.7,10.0,2.0,5kHz,Trainning,7
5khz_No7_1.csv,Triangular,4,0.7,10.0,2.0,5kHz,Trainning,7
5khz_No8.csv,Triangular,4,0.7,10.0,3.0,5kHz,Trainning,8
5khz_No8_1.csv,Triangular,4,0.7,10.0,3.0,5kHz,Trainning,8
5khz_No9.csv,Step_R,2,0.5,10.0,3.0,5kHz,Trainning,9
5khz_No9_1.csv,Step_R,2,0.5,10.0,3.0,5kHz,Trainning,9
